iter	Passed	Remaining
0	0	77
1	1	73
2	2	70
3	2	65
4	3	65
5	4	64
6	4	64
7	5	63
8	6	62
9	6	62
10	7	62
11	8	61
12	9	60
13	9	59
14	10	58
15	11	58
16	11	58
17	12	58
18	13	59
19	15	61
20	16	61
21	17	60
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	22	54
29	22	53
30	23	52
31	24	51
32	25	51
33	25	50
34	26	49
35	27	48
36	28	48
37	29	47
38	29	46
39	30	46
40	31	45
41	31	43
42	32	43
43	33	42
44	33	41
45	34	40
46	35	40
47	36	39
48	37	38
49	37	37
50	38	37
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	43	32
57	44	31
58	44	31
59	45	30
60	46	29
61	47	28
62	47	28
63	48	27
64	49	26
65	50	25
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	56	20
73	56	19
74	57	19
75	58	18
76	59	17
77	59	16
78	60	16
79	61	15
80	62	14
81	62	13
82	63	13
83	64	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	69	7
90	70	6
91	71	6
92	72	5
93	73	4
94	74	3
95	74	3
96	75	2
97	76	1
98	77	0
99	77	0
