iter	Passed	Remaining
0	154	154298
1	155	77469
2	155	51832
3	156	39044
4	157	31367
5	158	26245
6	159	22587
7	159	19828
8	160	17680
9	161	15965
10	161	14560
11	162	13390
12	163	12403
13	164	11559
14	164	10822
15	165	10198
16	166	9630
17	167	9124
18	167	8670
19	169	8292
20	170	7930
21	170	7598
22	171	7292
23	172	7023
24	173	6770
25	174	6530
26	175	6306
27	175	6101
28	176	5909
29	177	5730
30	178	5564
31	178	5407
32	179	5269
33	180	5131
34	181	4999
35	182	4879
36	183	4765
37	183	4655
38	184	4551
39	185	4452
40	186	4362
41	187	4270
42	188	4184
43	188	4099
44	189	4019
45	190	3943
46	190	3871
47	191	3801
48	192	3735
49	193	3676
50	194	3616
51	195	3556
52	195	3499
53	196	3443
54	197	3390
55	198	3339
56	198	3289
57	199	3240
58	200	3198
59	201	3154
60	202	3111
61	202	3068
62	203	3027
63	204	2987
64	204	2948
65	205	2912
66	206	2875
67	207	2843
68	208	2809
69	209	2776
70	209	2743
71	210	2711
72	211	2680
73	211	2650
74	212	2621
75	213	2592
76	214	2565
77	215	2542
78	215	2517
79	216	2492
80	217	2468
81	218	2444
82	218	2416
83	219	2393
84	220	2370
85	220	2347
86	221	2326
87	222	2307
88	223	2286
89	224	2266
90	224	2245
91	225	2226
92	226	2208
93	227	2189
94	227	2170
95	228	2152
96	229	2136
97	230	2119
98	231	2102
99	231	2085
100	232	2069
101	233	2053
102	234	2037
103	234	2022
104	235	2007
105	236	1992
106	237	1982
107	238	1972
108	239	1958
109	240	1945
110	241	1931
111	241	1917
112	242	1904
113	243	1891
114	244	1880
115	245	1868
116	245	1854
117	246	1842
118	247	1830
119	247	1818
120	248	1806
121	249	1793
122	249	1782
123	250	1770
124	251	1763
125	252	1753
126	253	1741
127	254	1730
128	254	1720
129	255	1710
130	256	1699
131	256	1689
132	257	1679
133	258	1670
134	259	1664
135	260	1654
136	261	1647
137	263	1645
138	264	1636
139	264	1626
140	265	1618
141	266	1610
142	267	1601
143	268	1593
144	269	1586
145	269	1577
146	270	1569
147	271	1561
148	272	1553
149	272	1545
150	273	1539
151	274	1533
152	275	1526
153	276	1519
154	277	1512
155	278	1504
156	278	1497
157	279	1489
158	280	1482
159	281	1477
160	281	1468
161	282	1463
162	283	1456
163	284	1449
164	285	1442
165	285	1435
166	286	1429
167	287	1422
168	288	1417
169	289	1411
170	289	1404
171	290	1399
172	291	1393
173	292	1387
174	293	1381
175	294	1376
176	295	1371
177	296	1368
178	298	1368
179	299	1363
180	300	1360
181	301	1356
182	303	1355
183	304	1351
184	305	1346
185	306	1340
186	307	1336
187	309	1334
188	311	1334
189	312	1331
190	313	1326
191	313	1321
192	314	1316
193	315	1310
194	316	1306
195	318	1306
196	319	1302
197	320	1298
198	321	1293
199	327	1311
200	328	1307
201	329	1302
202	331	1299
203	332	1296
204	333	1293
205	334	1288
206	335	1284
207	336	1280
208	337	1276
209	338	1272
210	339	1268
211	340	1266
212	341	1263
213	342	1259
214	343	1255
215	344	1251
216	345	1247
217	346	1242
218	347	1239
219	348	1234
220	349	1233
221	350	1229
222	351	1224
223	352	1220
224	353	1216
225	356	1219
226	356	1215
227	357	1210
228	358	1206
229	359	1202
230	360	1198
231	361	1196
232	362	1193
233	363	1190
234	364	1187
235	365	1183
236	366	1179
237	367	1175
238	367	1171
239	368	1168
240	369	1165
241	370	1161
242	371	1158
243	372	1154
244	373	1150
245	374	1147
246	375	1143
247	376	1141
248	377	1138
249	378	1135
250	379	1131
251	380	1128
252	380	1124
253	381	1120
254	382	1117
255	383	1115
256	384	1112
257	385	1108
258	386	1105
259	387	1103
260	388	1100
261	389	1097
262	390	1093
263	391	1091
264	392	1089
265	393	1087
266	394	1084
267	396	1082
268	397	1081
269	398	1078
270	399	1074
271	400	1071
272	400	1067
273	401	1064
274	402	1060
275	402	1057
276	403	1054
277	407	1057
278	408	1054
279	409	1052
280	411	1052
281	413	1053
282	414	1051
283	415	1048
284	416	1045
285	417	1042
286	418	1039
287	419	1038
288	421	1035
289	422	1033
290	423	1030
291	423	1027
292	424	1024
293	425	1021
294	426	1020
295	427	1017
296	428	1015
297	429	1012
298	430	1009
299	431	1006
300	431	1003
301	432	1000
302	433	997
303	434	995
304	435	992
305	436	989
306	437	987
307	438	984
308	438	981
309	439	978
310	440	975
311	443	977
312	444	974
313	445	972
314	446	969
315	447	967
316	448	965
317	449	963
318	450	960
319	450	958
320	451	955
321	452	952
322	453	949
323	454	947
324	454	944
325	455	942
326	456	940
327	457	937
328	458	935
329	459	932
330	460	930
331	461	927
332	461	925
333	462	922
334	463	920
335	464	918
336	465	916
337	466	913
338	467	911
339	467	908
340	468	906
341	469	903
342	470	900
343	471	899
344	472	897
345	473	894
346	474	892
347	475	890
348	475	887
349	476	885
350	477	882
351	478	881
352	479	878
353	480	876
354	481	874
355	481	871
356	482	869
357	483	866
358	484	864
359	484	862
360	485	859
361	486	857
362	487	855
363	488	853
364	489	850
365	489	848
366	490	846
367	491	843
368	492	841
369	493	840
370	494	838
371	495	836
372	495	833
373	496	831
374	497	829
375	498	827
376	499	825
377	500	823
378	501	822
379	502	820
380	503	818
381	504	816
382	505	814
383	506	812
384	507	810
385	508	808
386	509	806
387	510	804
388	510	802
389	511	800
390	512	798
391	513	796
392	514	794
393	515	792
394	516	790
395	517	789
396	518	787
397	519	785
398	520	783
399	522	783
400	524	782
401	525	782
402	526	780
403	527	778
404	528	776
405	529	774
406	530	772
407	531	771
408	532	769
409	533	767
410	533	765
411	534	763
412	535	761
413	536	759
414	537	757
415	538	755
416	539	753
417	539	751
418	540	749
419	541	747
420	542	745
421	543	743
422	544	742
423	545	740
424	546	739
425	547	738
426	548	736
427	549	734
428	550	732
429	552	732
430	553	730
431	554	728
432	554	726
433	555	724
434	556	723
435	557	721
436	558	719
437	559	717
438	560	716
439	561	714
440	562	712
441	563	710
442	563	708
443	564	707
444	565	705
445	566	703
446	567	701
447	568	700
448	569	698
449	569	696
450	570	694
451	571	692
452	572	690
453	572	688
454	573	687
455	574	685
456	575	683
457	575	681
458	576	679
459	577	678
460	578	676
461	579	674
462	580	673
463	583	673
464	584	672
465	585	670
466	585	668
467	586	667
468	587	665
469	589	664
470	590	663
471	591	661
472	592	659
473	593	658
474	594	656
475	595	655
476	596	654
477	597	652
478	598	651
479	599	649
480	601	649
481	602	648
482	604	646
483	605	645
484	605	643
485	606	641
486	607	640
487	609	639
488	611	638
489	619	644
490	621	643
491	622	642
492	623	641
493	624	640
494	626	638
495	626	637
496	627	635
497	629	634
498	630	632
499	631	631
500	632	629
501	633	628
502	634	626
503	634	624
504	635	623
505	636	621
506	637	619
507	638	618
508	640	617
509	640	615
510	642	614
511	643	612
512	643	611
513	644	609
514	645	608
515	646	606
516	647	605
517	648	603
518	649	602
519	650	600
520	651	599
521	653	598
522	655	597
523	656	596
524	657	594
525	660	595
526	662	594
527	663	593
528	664	591
529	665	590
530	666	588
531	668	587
532	669	586
533	670	584
534	671	583
535	672	582
536	673	580
537	675	579
538	676	578
539	677	577
540	678	575
541	679	573
542	679	572
543	680	570
544	681	569
545	682	567
546	683	566
547	684	564
548	685	563
549	686	561
550	687	560
551	688	558
552	688	556
553	689	555
554	690	553
555	691	552
556	692	550
557	693	549
558	694	547
559	695	546
560	696	544
561	697	543
562	698	541
563	698	540
564	699	538
565	700	537
566	701	535
567	701	533
568	702	532
569	703	530
570	704	529
571	705	528
572	706	526
573	707	525
574	708	523
575	709	522
576	710	520
577	710	519
578	711	517
579	712	515
580	713	514
581	714	512
582	715	511
583	715	510
584	716	508
585	717	507
586	718	505
587	719	504
588	720	502
589	721	501
590	722	499
591	723	498
592	724	496
593	724	495
594	726	494
595	726	492
596	727	491
597	728	489
598	729	488
599	730	486
600	731	485
601	731	483
602	732	482
603	733	480
604	734	479
605	735	477
606	735	476
607	736	474
608	737	473
609	738	472
610	739	470
611	740	469
612	741	467
613	742	466
614	742	465
615	743	463
616	744	462
617	745	460
618	746	459
619	746	457
620	747	456
621	748	455
622	749	453
623	750	452
624	750	450
625	751	449
626	752	447
627	753	446
628	755	445
629	756	444
630	757	443
631	758	441
632	759	440
633	759	438
634	760	437
635	761	435
636	762	434
637	763	433
638	764	431
639	764	430
640	765	428
641	766	427
642	767	426
643	768	424
644	768	423
645	770	421
646	770	420
